id,name,brand,categories,available,stock,regular_price,sales_price,discount,tier_prices,measure,product_url,image_url
18643,Pó Para Chantilly Oetker Chanti-Neve - 50g,Oetker,Doces E Sobremesas,True,67.0,8.99,8.99,0.0,"[{""minimum_quantity"": 1, ""price"": 8.99}, {""minimum_quantity"": 3, ""price"": 8.55}]",unity,https://www.arenaatacado.com.br/P%C3%B3-Para-Chantilly-Oetker-Chanti-Neve---50g-18643.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dwc00180a7/Produtos/18643-7891048045008-po para chantilly oetker chanti-neve 50g-oetker-1.jpg
400327,Pó Para Flan Oetker Baunilha 30g,Oetker,Doces E Sobremesas,True,19.0,3.79,3.79,0.0,"[{""minimum_quantity"": 1, ""price"": 3.79}, {""minimum_quantity"": 3, ""price"": 3.59}]",unity,https://www.arenaatacado.com.br/P%C3%B3-Para-Flan-Oetker-Baunilha-30g-400327.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw0140c491/Produtos/400327-7891048047088-po para flan oetker baunilha 30g-oetker-1.jpg
425532,Pó Para Pudim Oetker Chocolate 50gr,Oetker,Doces E Sobremesas,True,48.0,3.39,3.39,0.0,"[{""minimum_quantity"": 1, ""price"": 3.39}, {""minimum_quantity"": 3, ""price"": 3.25}]",unity,https://www.arenaatacado.com.br/P%C3%B3-Para-Pudim-Oetker-Chocolate-50gr-425532.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw9bf99cb5/Produtos/425532-7891048045138-po para pudim oetker chocolate 50gr-oetker-1.jpg
613924,Pó Para Sorvete Oetker Chocolate 150g,Oetker,Doces E Sobremesas,True,33.0,8.09,8.09,0.0,"[{""minimum_quantity"": 1, ""price"": 8.09}, {""minimum_quantity"": 3, ""price"": 7.69}]",unity,https://www.arenaatacado.com.br/P%C3%B3-Para-Sorvete-Oetker-Chocolate-150g-613924.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw5f9b6baa/Produtos/613924-7891048054123-po para sorvete oetker chocolate 150g-oetker-1.jpg
613908,Pó Para Sorvete Oetker Creme 150g,Oetker,Doces E Sobremesas,True,14.0,8.09,8.09,0.0,"[{""minimum_quantity"": 1, ""price"": 8.09}, {""minimum_quantity"": 3, ""price"": 7.69}]",unity,https://www.arenaatacado.com.br/P%C3%B3-Para-Sorvete-Oetker-Creme-150g-613908.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dwd8b11b49/Produtos/613908-7891048054109-po para sorvete oetker creme 150g-oetker-1.jpg
613916,Pó Para Sorvete Oetker Morango 150g,Oetker,Doces E Sobremesas,True,22.0,8.09,8.09,0.0,"[{""minimum_quantity"": 1, ""price"": 8.09}, {""minimum_quantity"": 3, ""price"": 7.69}]",unity,https://www.arenaatacado.com.br/P%C3%B3-Para-Sorvete-Oetker-Morango-150g-613916.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw3c4d4a6a/Produtos/613916-7891048054116-po para sorvete oetker morango 150g-oetker-1.jpg
999261,Queijo Azul Da Serra Scala Fracionado Kg,Scala,Frios E Laticínios,True,5.0,,,,[],weight,https://www.arenaatacado.com.br/Queijo-Azul-Da-Serra-Scala-Fracionado-Kg-999261.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw71741319/Produtos/999261-0000000083058-queijo azul da serra scala fracionado kg-scala-1.jpg
306258,Queijo Azul Tirolez Granel Kg,Tirolez,Frios E Laticínios,True,20.0,,,,[],weight,https://www.arenaatacado.com.br/Queijo-Azul-Tirolez-Granel-Kg-306258.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dwa99b1d56/Produtos/306258-0000000000239-queijo azul tirolez granel kg-tirolez-1.jpg
637726,Queijo Azul Tirolez Peça Kg,Tirolez,Frios E Laticínios,True,20.0,,,,[],weight,https://www.arenaatacado.com.br/Queijo-Azul-Tirolez-Pe%C3%A7a-Kg-637726.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw181c312a/Produtos/637726-0000000032865-queijo azul tirolez peca kg-tirolez-1.jpg
743712,Queijo Brie Vigor Forma Kg,Vigor,Frios E Laticínios,True,2.0,,,,[],weight,https://www.arenaatacado.com.br/Queijo-Brie-Vigor-Forma-Kg-743712.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw25d69f26/Produtos/743712-0000000038669-queijo brie vigor forma kg-vigor-1.jpg
846139,Queijo Brie Vigor Granel Kg,Vigor,Frios E Laticínios,True,2.0,,,,[],weight,https://www.arenaatacado.com.br/Queijo-Brie-Vigor-Granel-Kg-846139.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dwb2032ccc/Produtos/846139-0000000057516-queijo brie vigor granel kg-vigor-1.jpg
846112,Queijo Cheddar Polenghi Bandeja Kg,Polenghi,Frios E Laticínios,True,20.0,,,,[],weight,https://www.arenaatacado.com.br/Queijo-Cheddar-Polenghi-Bandeja-Kg-846112.html,https://www.arenaatacado.com.br/on/demandware.static/-/Sites-storefront-catalog-sv/default/dw687b6a7a/Produtos/846112-0000000057493-queijo cheddar polenghi bandeja kg-polenghi-1.jpg
