id,name,brand,categories,available,stock,regular_price,sales_price,discount,tier_prices,measure,product_url,image_url
15347,SABONETE NIVEA FACIAL GEL CONT.BRILHO 150ML,Nivea,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,4.0,42.99,42.99,0.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonnivea-facial-gel-contbrilho-150ml-15347,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_em_gel_controle_do_brilho_facial_nivea_frasco_150ml_0a35cdcc-9084-4888-841d-345aedb8b21c.jpg
11864,SABONETE NIVEA HIDRATANTE AVEIA 85GR,Nivea,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,516.0,3.29,3.29,0.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonnivea-hidaveia-85gr-11864,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_em_barra_nivea_aveia_85g_bf4dff7a-9b10-43a4-a7ae-f98a81d78b09.jpg
8734,SABONETE NIVEA HIDRATANTE BAUNILHA 85G,Nivea,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,138.0,3.29,3.29,0.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonnivea-hidbaunilha-85g-8734,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_em_barra_nivea_toque_de_baunilha_85g_com_12_unidades_9677b726-8216-4402-b804-6a1e2e025bf5.jpg
19077,SABONETE NIVEA HIDRATANTE CREME CARE 90G,Nivea,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,31.0,5.49,5.49,0.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonnivea-hidcreme-care-90g-19077,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_em_barra_nivea_hidratante_creme_care_90g_fa25d145-b77b-4725-8794-605434d3578b.jpg
6622,SABONETE NIVEA HIDRATANTE ORQUIDEAS 85G,Nivea,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,366.0,3.29,3.29,0.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonnivea-hidorquideas-85g-6622,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_nivea_hidratante_orqu_deas_85g_3179984f-b645-46e7-817a-494de16e2e87.jpg
920,SABONETE NIVEA HIDRATANTE PROTEÍNAS DO LEITE 85GR,Nivea,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,427.0,3.29,3.29,0.0,[],un,https://www.goodbom.com.br/hortolandia/produto/m/sabonnivea-hidprotleite-85gr-920,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_em_barra_nivea_leite_85g_948b1524-ce99-4b9d-8bc4-ebe9e478bfa7.jpg
2594,SABONETE NIVEA LAVANDA 85G,Nivea,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,639.0,3.29,3.29,0.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonnivea-hidlavanda-85g-2594,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_em_barra_nivea_hidratante_lavanda_leos_85gr_16ea4f54-ea1a-4fbf-8344-0944cc539489.png
29743,SABONETE PALMOLIVE ESFOLIAÇÃO DIÁRIA 150G,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,20.0,5.99,3.85,36.0,[],un,https://www.goodbom.com.br/hortolandia/produto/m/sabpalmolive-esfoliacao-diaria-150g-29743,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_palmolive_esfolia_o_di_ria_150g_7a3d39aa-8198-485e-97c9-9150063b41bb.jpg
29744,SABONETE PALMOLIVE ESFOLIAÇÃO DIÁRIA 85G,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,12.0,3.99,2.3,43.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabpalmolive-esfoliacao-diaria-85g-29744,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_palmolive_esfolia_o_di_ria_85g_d184b2a1-fc9e-4845-9212-2c0d103462b6.jpg
15420,SABONETE PALMOLIVE NATURALS HIDRATAÇÃO REFRESCANTE MELANCIA & LICHIA 85G,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,91.0,3.99,2.3,43.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonbarra-palmolive-melan-e-lichia-85g-15420,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_em_barra_palmolive_naturals_hidrata_o_refrescante_melancia_lichia_85g_19445290-39a3-4b11-9907-9fbb05c230df.jpg
